가다랑어,가다랑어포,가리비,가리비살,가시복,가자미,가지,가지열매,가츠오부시,간고등어,간장,갈매기살
층층이꽃어린순,치마버섯,치마양지,치아씨,치자나무,치자나무분말,치크콩,치킨파우더,칠레전복,칠리씨드오일,칠면조,칠면초어린순
칠보개물통이어린잎,칠색동가리,칠서대,칠선동갈돔,칠성갈치,칠성장어,칠엽수,침향,카나리아돔,카니스텔,카니스텔열매,카다몬
카더몬,카디날피쉬,카란다열매,카랄루마,카르다몬,카르둔,카르둔어린순,카르타게나토근뿌리,카리냐노,카망베르 뒤 샤누안느,카망베르 퍼 투아노우,카무카무 추출물
카무카무추출분말,카무카무퓌레,카무트씨,카바카바,카브리두,카사리프,카사바,카사바나나열매,카사바덩이뿌리,카세이유,카스카라사그라다,카우슬립꽃
카이엔페퍼,카제푸트,카카두플럼열매,카카두플럼파우더,카테츄,카틀라잉어,카퍼어린순,카프리스 데 디외,카피르라임,칸타브리아 보케로네,칸토렐 블루 도베르뉴,칼고기
칼라만시,칼상어,칼솟,칼조개,캄파네트 미몰레트 프랑세즈,캉탈,캐라웨이,캐러웨이,캐롤라이나 자스민,캐롭,캐롭열매,캐모마일 오일
캐모마일꽃분말,캐모마일꽃추출물,캐모마일분말,캐모마일잎,캐비어,캐슈,캐슈 애플,캐슈꽃줄기,캐슈너트페이스트,캐슈분말,캐슈오일,캘리포니아 블랙베리과일
캣츠클로,캥거루식용부산물,커런트,커런트열매,커리플랜트,커리플랜트잎,커스터드애플,커스터드애플열매,컴프리,컵클러버,케이퍼순,케이프구즈베리
케일주스,켈프,코끼리 귀 고기,코끼리 마늘,코끼리말징버섯,코끼리조개,코드아이스피쉬,코르크질(층),코스트마리,코카잎,코코 드 메르,코코넛 꽃액즙 추출물
코코넛 크림,코코넛게,코코넛농축,코코아추출물,코코플럼,코쿠잎,코큐라 퀘소 만체고,코티지,코호,코호키다케,콕스 오렌지 피핀,콘두란고
콘민트,콘민트잎,콜라나무열매,콜라나무열매추출물,콜라나무오일,콜라나무추출물,콜라드,콜라드 잎,콜레우스 포스콜리,콜레우스 포스콜리뿌리,콜리우르 앤초비,콤쿠아트
콩 기름,콩깍지고둥,콩나물애주름버섯,콩묵,콩배나무열매,콩제비꽃어린순,콩코드포도주스,콩콩브르,콩피,콰시아,콰시아추출물,쾨르 드 리옹 프티 카망베르
쿠라레,쿠민,쿠민씨,쿠민오일,쿠스쿠스,쿠쿠이나무,쿠푸아수,쿨란트로,쿨란트로잎,쿨란트로줄기,쿨로미에,퀴노아 가루
퀸스분말,큐벱페퍼,큐벱페퍼열매,크램 박,크랩애플,크레송,크레이피시,크레타박하,크레피스,크로탱 드 샤비뇰,크릴 페이스트,크릴새우오일
큰 비단 그물버섯,큰가시고기,큰갓버섯,큰개별꽃어린순,큰구슬우렁이,큰까치수염어린순,큰까치수염어린잎,큰꼬치고기,큰꽃삽주뿌리,큰꽃으아리뿌리,큰노랑꽃자리풀,큰노랑꽃자리풀씨
큰노랑꽃자리풀열매,큰노랑꽃자리풀잎,큰논우렁,큰눈돔,큰눈물버섯,큰느타리자실체,큰달맞이꽃 씨,큰도꼬마리어린순,큰마개버섯,큰매화노루발,큰매화노루발추출물,큰메꽃뿌리
큰메꽃어린순,큰멸치,큰물칭개나물어린순,큰뱀무어린순,큰보리장나무열매,큰비단그물버섯,큰서대,큰솔나리비늘줄기,큰쌀귀리씨,큰애기나리어린잎,큰앵초어린순,큰얼룩통구멍
큰엉겅퀴어린순,큰원추리어린잎,큰위령선어린순,큰위령선어린잎,큰은대구,큰입선농어,큰잎부들꽃가루,큰잎용담뿌리,큰전나무버섯,큰전나무버섯자실체,큰점나도나물어린순,큰조아재비
큰징거미새우,큰참나물어린순,큰참나물어린잎,큰행달조개,큰황새냉이어린잎,클라베르,클라우드베리,클라우드베리열매,클래식 버라이틀,클레리잎,클레멘타인,클로델 브리
클로델 카망베르,클로렐라,클로렐라추출농축,클로버분말,클로브,키나나무,키나나무껍질,키다리곰보버섯,키다리끈적버섯,키리,키위분말,키위추출물
타라,타라곤,타라곤꽃,타라곤분말,타라곤오일,타라곤잎,타라곤잎추출물,타락치,타로,타마린드,타마린드열매,타마릴로
타바스코,타우마틴,타이어트랙일,타임,타임분말,타임오일,타임잎,타임추출물,타조식용부산물,타프나드,타피오카 전분,타피오카분말
타히니,타히보껍질,타히티라임열매,탁자볼락,탈린 킬루드,태평양연어,택사,택사덩이줄기,택사추출물,탱자추출분말,터닙,터리풀
터리풀어린잎,터메릭,터봇,터키쉬오레가노,터키쉬오레가노잎,턱받이금버섯,털가막살나무가지,털가막살나무잎,털노박덩굴어린순,털노박덩굴종자유,털도깨비바늘잎,털목이버섯
털민들레,털별꽃아재비,털부처꽃어린순,털산사열매,털생강나무어린순,털수배기,털여귀어린잎,털여뀌열매,털음나무어린잎,털잔대뿌리,털잔대연한잎,털장대어린순
털진득찰어린잎,털질경이어린잎,털찔레어린순,털큰앵초어린잎,털탑고둥,테라시,테코마 스탠스뿌리,테트 드 무안,텔린 드 카마르그,토근,토란분말,토란주스
토르멘틸,토마토 퓌레,토마토식초,토마토하인드,토마티요,토사자,토사자씨앗,토헤로아,톨로사 콩,톱날꽃게,톱니겨우살이버섯,톱야자
톱잔대뿌리,톱풀어린순,통밀겨,통밀전분,통위드,통의바리,통초줄기,통치,통카콩,통캇알리,투루,투메릭
투박조개,투어바리,퉁둥굴레뿌리,퉁둥굴레어린잎,퉁퉁마디분말,트라가칸타 수액,트롱페트더라모르,트리티케일씨,티즐 고어드과육,틸라피아,틸지트,팀블베리색소
파극천,파두씨,파드득나물,파라다이스넛,파라다이스숭어,파란콩,파랑제왕갈돔,파래추출물,파로씨,파르메산,파마이석태,파베 다피누아 플레지르
파상땅해파리,파스닙,파스닙농축액,파슬리농축,파슬리농축액,파슬리잎분말,파인애플식초,파인애플추출물,파카,파카야,파쿠,파키라열매
파타고니아이빨고기,파파야농축,파피 씨드씨앗(가열처리한 것에 한함),팍쵸유,판다누스잎,판단 잎,판단잎추출물,판세타,팔각,팔각향어린잎,팔각회향,팔각회향분말
팔랑개비국화 추출물,팔손이분홍치,팜열매,팜유,팥가루,팥식초,패모,패션프루트(PASSIONFRUIT)가루,패션후르츠,팽나무버섯,팽나무열매,팽이버섯추출물
퍼시픽 블루아이,퍼시픽도리,퍼치,펄닭새우,펄조개,페널,페니로얄,페니로얄잎,페르시아 호두나무견과,페쉬 드 비뉴,페스큐,페스토
페이장 브레통 르 브리,페이장 브레통 르 카망베르,페이죠아,페이죠아열매,페코리노 로마노,페타,페퍼트리,페페로니,펜넬,펜두상어,편두,평삼치
평원비단그물버섯,포공영,포도무당버섯,포도씨유,포도찌꺼기,포르 뒤 살뤼,포마토무스 살타트릭스,포케 마르왈,포케우드,포트마리골드,포트마리골드꽃,포포
포플러,포피,폰즈,폴 에피,퐁 레비큐,표고버섯자실체추출물,표범상어,푸넬 챈테렐,푸렁통구멍,푸른끈적버섯,푸아그라,푸조나무열매
푼지나무어린잎,풀가라지,풀고사리어린순,풀넙치,풀라산,풀망둑,풀미역치,풀버섯자실체,풀솜나물어린잎,풀잉어,풍선군소,풍선끈적버섯
퓨어 올리브 오일,퓨질리어,프랑스 해안송나무껍질,프레지던트 브리,프레지던트 프티 브리,프로볼로네,프로슈토,프로테아제(곰팡이성:SAP),프리미티보,프리카,프리코 오리지널 에담 마일드,프리코 오리지널 하우다 마일드
프리코 올드 더치 마스터,플랫레몬,플랫레몬열매,피,피나무꽃,피나무잎,피나물,피라미,피렌체 회향,피마자,피마자씨,피마자어린잎
피마자추출물,피망분말,피문어,피버퓨,피뿔고둥,피스타치오분말,피스투,피시 소시지,피씨,피에 당글 로이,피잎,피젼피
피젼피씨앗,피조아,피콴테 고추,피타야열매,피탕가,필리너트,필리너트어린싹,필리핀레몬열매,필리핀오렌지열매,필립흙무굴치,필발,필발열매
핑거루트뿌리,하국,하늘색깔대기버섯,하늘타리,하리사,하말씨앗,하바네로분말,하바티,하수오씨,하스돔,하이센장,하이시안장
하프물범,하프물범오일농축,하프물범유,하프물범추출물,학꽁치,한라봉주스,한라부추,한련,한련잎,한련초,한련초잎,한벌홍감펭
한볼락,한삼덩굴어린순,한속단뿌리,한줄퓨실리아,한천,한치꼴뚜기,한치꼴뚜기내장,할라파,할미밀망,"함수초,감응초",합개,해고어린싹
해구신,해덕대구,해마,해바라기씨유,해바라기씨추출물,해바라기인,해변노박덩굴어린순,해변노박덩굴종자유,해삼추출물,해장죽죽순,해총,해표초
해홍나물어린순,핵꼬치,행달조개,행락상어,행인씨,향가피,향기제비꽃꽃,향나물,향버섯,향부자,향부자뿌리줄기,향수비자나무
향유,향유어린순,향유어린잎,향피수,허니부쉬(HONEYBUSH),허니부쉬잎,허브식초,허브와 향신료,허클베리색소,헤더,헬릭스포마티아,현미시럽고형분
현미식초,현삼,현호색,혈갈,혓바늘목이,형개,형개꽃대,호로파,호로파씨,호리버베인잎,호미카씨,호밀
호밀가루,호밀씨,호박고구마,호박돔,호박씨분말,호박씨추출물,호박주스농축,호스래디쉬 뿌리,호스래디시,호장근어린줄기,호코테,호프 추출물
호프어린순,호황련,혹난초,홀리바질,홀리바질잎,홉 줄기,홍가자미,홍감펭,홍경천,홍국,홍다리얼룩새우,홍대실꼬리돔
홍대치,홍두씨앗,홍민어,홍바리,홍살치,홍삼식초,홍서대,홍설차,홍송어,홍연어,홍정지호버섯,홍줄고둥
홍창,홍초,홍치,홍콩백합꽃잎,홍콩백합비늘줄기,홍합농축액,홍합추출분말,홍화분말,홍화어린잎,홍화오일,홍화유,홍화잎
홍화추출물,홍화추출분말,화분,화살꼴뚜기,화살꼴뚜기내장,화살나무귀전우,화살나무어린잎,화살나무잎,화살치가자미,화이트 데드네틀잎,화이트발사믹식초,화이트와인식초
화이트페퍼열매,환도상어,활량나물,활량나물어린순,황갈낭피버섯,황강달이,황국,황금,황금리브민어,황금목이,황금무당버섯,황금뿔나팔버섯
황기싹,황기잎 추출물,황놀래기,황다랑어,황다랑어오일,황돔,황련뿌리줄기,황련초,황매퉁이,황벽나무껍질,황복,황복내장
황복알,황볼락,황새냉이뿌리,황새냉이어린순,황새치,황소개구리분말,황소끈적버섯,황소비단그물버섯,황아귀,황어,황여우시에,황연목어린잎
황옥돔,황장,황적퉁돔,황점복,황정,황정/뿌리,황조어,황줄깜정이,황줄돔,황칠나무,황칠나무잎,황태채
황해볼락,회잎나무어린잎,회초리꼬리민태,회향열매,회향오일,회향잎,회향죽,회향줄기,회향추출물,회화나무,회화나무열매,회화나무열매 추출물
효모,후두균버섯,후디아 고도니,후무스,후박,후박나무,훅셀레베,훈제연어분말,훈제치즈,흉기흑점바리,흐르레기,흑갈색무당버섯
흑갈치꼬치,흑기흉상어,흑난초,흑대기,흑돔,흑미식초,흑밀복,흑반송꽃가루,흑반송나무껍질,흑삼릉,흑설탕,흑임자
흑점갈전갱이,흑점날가지,흑점메기,흑점줄전갱이,흑조기,흑종초,흑종초씨,흑종호박열매,흑초,흑태,흑호두나무견과,흙무굴치
희렴어린잎,흰 서양송로자실체,흰가솔송잎,흰가시엉겅퀴어린순,흰가오리,흰각시취어린잎,흰갈퀴나물어린순,흰강남콩 추출물,흰강낭콩추출물,흰갯장구채어린잎,흰갯장구채줄기,흰굴뚝버섯
흰꼭지성게,흰꼴뚜기,흰꼴뚜기내장,흰꾀꼬리버섯,흰꿀풀어린순,흰다리새우,흰독말풀,흰땃딸기열매,흰모싯대뿌리,흰모싯대어린잎,흰목이,흰목이버섯
흰목이자실체,흰무늬엉겅퀴씨,흰무늬엉겅퀴잎,흰무당버섯아재비,흰배환도상어,흰버드나무,흰베도라치,흰분말낭피버섯,흰삿갓깔대기버섯,흰생열귀나무,흰서양송로,흰송이
흰우단버섯,흰잎고려엉겅퀴어린잎,흰점복,흰후추오일,흰후추추출물,히까마덩이뿌리,히메치,히비스커스분말,히비스커스추출물,히비스커스추출물분말,히비스커스추출분말,히비커스꽃 분말
히섭,히솝,히솝꽃,히솝잎,히솝잎분말,히솝추출물,히코리,힐사,(소)양,Adelomelon ancilla,Atlantic mackerel,BRINJAL
Black Haw,Bog Cranberry열매,Brown tiger prawn,COMMON MULLEIN LEAVES,CRATAEGUS LAEVIGATA,California nutmeg씨,Capulin열매,Catuaba,Chaste Tree열매,Chinese nutmeg tree씨,Cocona열매,Codonopsis ovata
Common speedwell잎,Corn salad,Cornelian cherry열매,Costa Rican Guava열매,Country Mallow,Crataegus sanguinea열매,Curled Mint잎,Curry-Leaf Tree잎,Damiana잎,Dartres,Darwin Black Wattle씨,Devil's claw
Devil's horsewhip,Du Huo,Dwarf Barbados Cherry열매,East Indian Walnut씨,Echinacea Angustifolia뿌리추출물,Echinacea Purpurea잎추출물,European buckthorn,FIELD ERYNGO,Galanga,Galanga Galangal열매,Gallito,Garra잉어
Gelsemin,Genipap열매,Ghaf나무껍질,Giant Granadilla열매,Golden crab,Golden pomfret,Grass Jelly,Ground nut덩이줄기,Guaba꽃꿀,Guaba열매,"HORSERADISH-TREE(BEN-OIL TREE, DRUMSTICK-TREE)/열매(씨앗)",Heather꽃줄기
Heather어린싹,Indian Bedellium Gum resin,Indian volute,Inga cipo 씨,Java Apple,Kei Apple열매,Ketembilla열매,Kiwano열매,Kokum,Leadtree,Lesser periwinkle,Low-running blackberry열매
Lupins,MEXICAN HUSK TOMATO,MUCUNUWENNA,Madu,Malay Apple열매,Malea ringens,Mamoncillo씨,Mamoncillo열매,Maqui열매,Matrimony vine열매,Mauritius raspberry열매,Mercenaria mercenaria
Mexican Husk Tomato열매,Motherwort,Mountain ash,Mucunuwenna잎,Nance열매,Northern bayberry잎,Pacific Serviceberry열매,Peyote,Phalsa열매,Polpala잎,Psyllium,Psyllium씨껍질
RED CABBAGE EXTRACT,Red endeavour prawn,Rough pigweed,SILVERWEED,Santol열매,Sarsaparilla,Seaside Alder나무껍질,Sinum undulatum,Slippery elm,Squaw vine,Star reindeer lichen,Strophanthus
Suma,Swamp blueberry,Sweet Granadilla열매,Sweet Lime열매,Tanner's cassia,Tench,Tormentil뿌리,Trophon,Typycha kuratu잎,Vacha메기,Valerian뿌리,WAMPEE
Wampee열매,Water Lemon열매,Weakfish,Western king prawn,White Sapote열매,White piddock,Wild Custard Apple,Wild leek잎,Wild yam,Wisteria열매,Wood Betony,Wuchang bream
Yellow Bedstraw잎,Yellowsnout large-eye bream,Zanthoxylum bungeanum열매,geiger tree,green laver,mundi잎,pejibaye수액,pejibaye열매,strawberry guave열매,sugar pea,tea oil plant씨,wild endive
wild triga씨
